Company Name,Industry,Symbol,Series,ISIN Code
AGI Greenpac Ltd.,Capital Goods,AGI,EQ,INE415A01038
Accelya Solutions India Ltd.,Information Technology,ACCELYA,EQ,INE793A01012
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011
Alembic Ltd.,Realty,ALEMBICLTD,EQ,INE426A01027
Ami Organics Ltd.,Healthcare,AMIORG,EQ,INE00FF01017
Amrutanjan Health Care Ltd.,Healthcare,AMRUTANJAN,EQ,INE098F01031
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Andhra Sugars Ltd.,Chemicals,ANDHRSUGAR,EQ,INE715B01021
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Apcotex Industries Ltd.,Capital Goods,APCOTEXIND,EQ,INE116A01032
Apollo Pipes Ltd.,Capital Goods,APOLLOPIPE,EQ,INE126J01016
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011
Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
Astec LifeSciences Ltd.,Chemicals,ASTEC,EQ,INE563J01010
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
Automotive Axles Ltd.,Automobile and Auto Components,AUTOAXLES,EQ,INE449A01011
BF Utilities Ltd.,Construction,BFUTILITIE,EQ,INE243D01012
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON,EQ,INE933K01021
Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021
Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE,EQ,INE164A01016
Barbeque Nation Hospitality Ltd.,Consumer Services,BARBEQUE,EQ,INE382M01027
Best Agrolife Ltd.,Chemicals,BESTAGRO,EQ,INE052T01013
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL,EQ,INE922A01025
Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING,EQ,INE032A01023
Borosil Ltd.,Consumer Durables,BOROLTD,EQ,INE02PY01013
Butterfly Gandhimathi Appliances Ltd.,Consumer Durables,BUTTERFLY,EQ,INE295F01017
CARE Ratings Ltd.,Financial Services,CARERATING,EQ,INE752H01013
CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
Camlin Fine Sciences Ltd.,Chemicals,CAMLINFINE,EQ,INE052I01032
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Carysil Ltd.,Consumer Durables,CARYSIL,EQ,INE482D01024
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017
Confidence Petroleum India Ltd.,Oil Gas & Consumable Fuels,CONFIPET,EQ,INE552D01024
Cosmo First Ltd.,Capital Goods,COSMOFIRST,EQ,INE757A01017
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
D B Realty Ltd.,Realty,DBREALTY,EQ,INE879I01012
DCB Bank Ltd.,Financial Services,DCBBANK,EQ,INE503A01015
Dalmia Bharat Sugar and Industries Ltd.,Fast Moving Consumer Goods,DALMIASUG,EQ,INE495A01022
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ,INE365B01017
Den Networks Ltd.,Media Entertainment & Publication,DEN,EQ,INE947J01015
Dhanuka Agritech Ltd.,Chemicals,DHANUKA,EQ,INE435G01025
Dish TV India Ltd.,Media Entertainment & Publication,DISHTV,EQ,INE836F01026
Dishman Carbogen Amcis Ltd.,Healthcare,DCAL,EQ,INE385W01011
Dolat Algotech Ltd.,Financial Services,DOLATALGO,EQ,INE966A01022
Dollar Industries Ltd.,Textiles,DOLLAR,EQ,INE325C01035
Dwarikesh Sugar Industrial Ltd.,Fast Moving Consumer Goods,DWARKESH,EQ,INE366A01041
ESAB India Ltd.,Capital Goods,ESABINDIA,EQ,INE284A01012
